id_viaje,fecha_salida_cargue,hora_salida_cargue,codigo_cargue,cargue,horas_espera_cargue,horas_cargue
18,2023-06-01,18:00:00,8296000,GALAPA ATLANTICO,0.00,2.00
49,2023-06-01,18:00:00,8296000,GALAPA ATLANTICO,0.00,2.00
266,2023-06-01,21:00:00,8758000,SOLEDAD ATLANTICO,0.00,5.00
270,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
271,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
272,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
273,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
274,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
275,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
276,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
277,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
278,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
279,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
280,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
281,2023-06-01,5:00:00,23001000,MONTERIA CORDOBA,0.00,1.00
466,2023-06-01,10:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,0.98
518,2023-06-01,17:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.98,1.00
536,2023-06-01,17:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.98,1.00
544,2023-06-01,13:30:00,76109000,BUENAVENTURA VALLE DEL CAUCA,2.50,0.98
570,2023-06-01,23:18:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,3.00
1144,2023-06-01,19:00:00,13001000,CARTAGENA BOLIVAR,0.98,0.98
1189,2023-06-01,15:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
1218,2023-06-01,23:00:00,13001000,CARTAGENA BOLIVAR,0.00,2.00
1220,2023-06-01,23:00:00,13001000,CARTAGENA BOLIVAR,0.00,3.00
1290,2023-06-01,12:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
1295,2023-06-01,15:35:00,13001000,CARTAGENA BOLIVAR,1.00,0.98
1385,2023-06-01,14:40:00,13001000,CARTAGENA BOLIVAR,1.15,1.50
1584,2023-06-01,10:30:00,25430000,MADRID CUNDINAMARCA,0.50,3.00
1616,2023-06-01,23:02:00,68001000,BUCARAMANGA SANTANDER,1.03,0.98
1773,2023-06-01,16:00:00,13001000,CARTAGENA BOLIVAR,0.00,4.98
1774,2023-06-01,16:00:00,13001000,CARTAGENA BOLIVAR,0.00,6.00
1775,2023-06-01,11:00:00,13001000,CARTAGENA BOLIVAR,0.00,4.00
1957,2023-06-02,12:50:00,13001000,CARTAGENA BOLIVAR,0.50,2.32
1975,2023-06-02,10:03:00,13001000,CARTAGENA BOLIVAR,0.33,0.98
1989,2023-06-02,16:00:00,13001000,CARTAGENA BOLIVAR,0.00,1.98
2027,2023-06-02,12:00:00,13001000,CARTAGENA BOLIVAR,0.00,2.00
2044,2023-06-02,12:00:00,13001000,CARTAGENA BOLIVAR,0.00,2.00
2056,2023-06-02,9:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
2175,2023-06-02,11:02:00,5001000,MEDELLIN ANTIOQUIA,3.00,0.02
2220,2023-06-02,12:00:00,5001000,MEDELLIN ANTIOQUIA,0.00,2.00
2255,2023-06-02,10:26:00,13001000,CARTAGENA BOLIVAR,0.00,2.42
2332,2023-06-02,5:22:00,5001000,MEDELLIN ANTIOQUIA,2.50,1.68
2358,2023-06-02,12:22:00,5001000,MEDELLIN ANTIOQUIA,3.67,1.52
2359,2023-06-02,3:12:00,5001000,MEDELLIN ANTIOQUIA,1.52,0.67
2711,2023-06-02,12:30:00,76001000,CALI VALLE DEL CAUCA,0.00,1.00
2746,2023-06-02,9:26:00,23580000,PUERTO LIBERTADOR CORDOBA,1.42,2.00
2823,2023-06-02,13:10:00,5360000,ITAGUI ANTIOQUIA,0.00,1.50
2826,2023-06-02,12:00:00,5360000,ITAGUI ANTIOQUIA,0.00,2.00
2883,2023-06-02,17:38:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
2884,2023-06-02,17:29:00,70820000,SANTIAGO DE TOLU SUCRE,0.32,1.00
2885,2023-06-02,14:34:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
2887,2023-06-02,14:56:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
2888,2023-06-02,17:33:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
2891,2023-06-02,17:36:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
2892,2023-06-02,17:32:00,70820000,SANTIAGO DE TOLU SUCRE,0.32,1.00
3031,2023-06-02,4:42:00,5001000,MEDELLIN ANTIOQUIA,3.35,0.17
3032,2023-06-02,10:12:00,5001000,MEDELLIN ANTIOQUIA,1.35,1.68
3036,2023-06-02,18:59:00,5001000,MEDELLIN ANTIOQUIA,0.00,1.05
3047,2023-06-02,17:00:00,5360000,ITAGUI ANTIOQUIA,0.00,2.00
3059,2023-06-02,9:00:00,13001000,CARTAGENA BOLIVAR,1.98,2.00
3060,2023-06-02,9:00:00,13001000,CARTAGENA BOLIVAR,1.98,2.00
3066,2023-06-02,5:42:00,5001000,MEDELLIN ANTIOQUIA,1.35,0.35
3067,2023-06-02,9:52:00,5001000,MEDELLIN ANTIOQUIA,3.83,1.85
3068,2023-06-02,11:32:00,5001000,MEDELLIN ANTIOQUIA,3.83,0.68
3180,2023-06-02,22:08:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3181,2023-06-02,22:08:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3182,2023-06-02,15:05:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3183,2023-06-02,9:28:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3184,2023-06-02,9:28:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3222,2023-06-02,13:02:00,5001000,MEDELLIN ANTIOQUIA,3.00,2.02
3226,2023-06-02,8:23:00,5001000,MEDELLIN ANTIOQUIA,0.33,1.00
3297,2023-06-02,22:19:00,70820000,SANTIAGO DE TOLU SUCRE,0.33,0.98
3304,2023-06-02,21:49:00,70820000,SANTIAGO DE TOLU SUCRE,0.32,1.00
3339,2023-06-02,9:00:00,76892000,YUMBO VALLE DEL CAUCA,1.00,0.98
3490,2023-06-02,21:00:00,5360000,ITAGUI ANTIOQUIA,0.00,2.00
3637,2023-06-02,11:32:00,5001000,MEDELLIN ANTIOQUIA,2.00,1.52
3649,2023-06-02,3:32:00,5001000,MEDELLIN ANTIOQUIA,2.33,0.18
3735,2023-06-02,20:00:00,68001000,BUCARAMANGA SANTANDER,0.00,2.00
3997,2023-06-02,14:22:00,5001000,MEDELLIN ANTIOQUIA,2.18,2.17
4100,2023-06-02,21:00:00,5212000,COPACABANA ANTIOQUIA,0.00,2.00
4101,2023-06-02,21:00:00,5212000,COPACABANA ANTIOQUIA,0.00,2.00
4149,2023-06-02,1:28:00,66001000,PEREIRA RISARALDA,0.00,1.00
4153,2023-06-02,21:00:00,23001000,MONTERIA CORDOBA,0.00,2.00
4154,2023-06-02,21:00:00,23001000,MONTERIA CORDOBA,0.00,2.00
4388,2023-06-02,19:30:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,0.98
4389,2023-06-02,16:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,0.98
4395,2023-06-02,16:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,0.98
4399,2023-06-02,18:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,2.48,1.50
4404,2023-06-02,10:00:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,0.98
4406,2023-06-02,23:59:00,76109000,BUENAVENTURA VALLE DEL CAUCA,0.00,1.28
5063,2023-06-02,15:29:00,8001000,BARRANQUILLA ATLANTICO,1.00,0.98
5068,2023-06-02,11:59:00,8001000,BARRANQUILLA ATLANTICO,0.17,0.72
5074,2023-06-02,11:59:00,8001000,BARRANQUILLA ATLANTICO,0.17,0.72
5079,2023-06-02,11:59:00,8001000,BARRANQUILLA ATLANTICO,0.17,0.72
5084,2023-06-02,11:59:00,8001000,BARRANQUILLA ATLANTICO,0.17,0.72
5137,2023-06-02,8:03:00,8001000,BARRANQUILLA ATLANTICO,0.98,1.00
5185,2023-06-02,10:35:00,8001000,BARRANQUILLA ATLANTICO,0.98,0.98
5256,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5258,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5263,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5265,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5266,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5271,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5275,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5278,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5279,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5291,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5297,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5298,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5300,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5302,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5304,2023-06-02,9:00:00,54001000,CUCUTA NORTE DE SANTANDER,1.00,0.98
5387,2023-06-02,10:36:00,8001000,BARRANQUILLA ATLANTICO,1.00,0.98
5446,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5447,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5448,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5449,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5458,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5459,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
5461,2023-06-02,3:59:00,8296000,GALAPA ATLANTICO,0.17,0.73
