id_viaje,fecha_llegada_descargue,hora_llegada_descargue,codigo_descargue,descargue,horas_espera_descargue,horas_descargue
18,2023-06-03,9:00:00,5045000,APARTADO ANTIOQUIA,0.00,2.00
49,2023-06-03,9:00:00,5045000,APARTADO ANTIOQUIA,0.00,2.00
266,2023-06-02,8:00:00,23001000,MONTERIA CORDOBA,0.00,7.98
270,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
271,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
272,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
273,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
274,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
275,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
276,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
277,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
278,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
279,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
280,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
281,2023-06-01,20:00:00,13001000,CARTAGENA BOLIVAR,0.00,0.98
466,2023-06-02,17:00:00,76892000,YUMBO VALLE DEL CAUCA,0.00,0.98
518,2023-06-03,8:00:00,76892000,YUMBO VALLE DEL CAUCA,0.98,0.98
536,2023-06-02,9:00:00,76892000,YUMBO VALLE DEL CAUCA,0.98,1.00
544,2023-06-02,7:00:00,76892000,YUMBO VALLE DEL CAUCA,1.50,1.25
570,2023-06-06,8:30:00,76892000,YUMBO VALLE DEL CAUCA,0.92,2.77
1144,2023-06-05,8:00:00,11001000,BOGOTA BOGOTA D. C.,0.98,0.98
1189,2023-06-03,8:00:00,11001000,BOGOTA BOGOTA D. C.,0.00,1.15
1218,2023-06-06,13:00:00,11001000,BOGOTA BOGOTA D. C.,2.00,0.98
1220,2023-06-06,8:00:00,11001000,BOGOTA BOGOTA D. C.,0.98,0.98
1290,2023-06-08,7:00:00,11001000,BOGOTA BOGOTA D. C.,0.00,6.00
1295,2023-06-03,17:35:00,11001000,BOGOTA BOGOTA D. C.,0.98,0.98
1385,2023-06-03,5:06:00,68001000,BUCARAMANGA SANTANDER,0.98,0.98
1584,2023-06-04,8:00:00,13001000,CARTAGENA BOLIVAR,0.98,0.50
1616,2023-06-02,8:00:00,13001000,CARTAGENA BOLIVAR,0.30,1.40
1773,2023-06-03,9:00:00,15837000,TUTA BOYACA,0.98,3.00
1774,2023-06-04,3:00:00,15837000,TUTA BOYACA,0.98,3.00
1775,2023-06-03,15:00:00,15837000,TUTA BOYACA,2.00,1.98
1957,2023-06-03,17:00:00,5001000,MEDELLIN ANTIOQUIA,0.48,1.50
1975,2023-06-06,10:00:00,5001000,MEDELLIN ANTIOQUIA,0.25,3.75
1989,2023-06-03,20:00:00,5001000,MEDELLIN ANTIOQUIA,0.00,1.98
2027,2023-06-03,18:00:00,5001000,MEDELLIN ANTIOQUIA,0.00,1.50
